#{"t_start": 1596247982.1128078, "env_id": null}
r,l,t
6.216,752,36344.169606
50.002,2868,36548.703968
9.336,636,36582.942941
7.302,669,36631.729331
4.289,684,36666.050652
16.145,818,36729.778387
11.294,676,36763.861592
11.686,1261,36846.094896
13.886,1068,36911.968338
26.556,1378,37008.905698
15.263,703,37057.970368
40.247,2629,37223.865489
6.49,410,37241.547114
-2.225,215,37257.674851
16.711,1233,37339.283679
41.936,2930,37520.584203
7.385,589,37567.973729
10.253,713,37616.466509
32.187,1731,37716.457929
16.688,1251,37798.233863
11.249,717,37847.270677
15.813,1132,37913.491055
13.277,685,37962.310225
3.35,625,38011.120859
7.296,672,38046.276871
35.685,2207,38198.805513
0.488,491,38231.464869
10.246,716,38281.837711
13.193,769,38333.384615
7.47,507,38366.50126
